SN,Province,District,Sector,Cellule,Village,Code_vil_1,NEP Revision July 2023,,,,,,,,,,,,,,,,,,
161,Kigali City,Nyarugenge,Kimisagara,Kimisagara,Nyabugogo,11040316,Fill In,,,,,,,,,,,,,,,,,,
162,Kigali City,Nyarugenge,Kimisagara,Kimisagara,Nyagakoki,11040317,GE,,,,,,,,,,,,,,,,,,
163,Kigali City,Nyarugenge,Kimisagara,Kimisagara,Nyakabingo,11040318,GE,,,,,,,,,,,,,,,,,,
164,Kigali City,Nyarugenge,Kimisagara,Kimisagara,Nyamabuye,11040319,GE,,,,,,,,,,,,,,,,,,
165,Kigali City,Nyarugenge,Kimisagara,Kimisagara,Sangwa,11040320,GE,,,,,,,,,,,,,,,,,,
166,Kigali City,Nyarugenge,Kimisagara,Kimisagara,Sano,11040321,GE,,,,,,,,,,,,,,,,,,
167,Kigali City,Nyarugenge,Mageregere,Kankuba,Kamatamu,11050101,GE,,,,,,,,,,,,,,,,,,
168,Kigali City,Nyarugenge,Mageregere,Kankuba,Kankuba,11050102,Fill In,,,,,,,,,,,,,,,,,,
169,Kigali City,Nyarugenge,Mageregere,Kankuba,Karukina,11050103,GE,,,,,,,,,,,,,,,,,,
170,Kigali City,Nyarugenge,Mageregere,Kankuba,Musave,11050104,Fill In,,,,,,,,,,,,,,,,,,
171,Kigali City,Nyarugenge,Mageregere,Kankuba,Nyarumanga,11050105,Fill In,,,,,,,,,,,,,,,,,,
172,Kigali City,Nyarugenge,Mageregere,Kankuba,Rugendabari,11050106,GE,,,,,,,,,,,,,,,,,,
173,Kigali City,Nyarugenge,Mageregere,Kavumu,Ayabatanga,11050201,GE,,,,,,,,,,,,,,,,,,
174,Kigali City,Nyarugenge,Mageregere,Kavumu,Kankurimba,11050202,GE,,,,,,,,,,,,,,,,,,
175,Kigali City,Nyarugenge,Mageregere,Kavumu,Kavumu,11050203,GE,,,,,,,,,,,,,,,,,,
176,Kigali City,Nyarugenge,Mageregere,Kavumu,Mubura,11050204,Fill In,,,,,,,,,,,,,,,,,,
177,Kigali City,Nyarugenge,Mageregere,Kavumu,Murondo,11050205,GE,,,,,,,,,,,,,,,,,,
178,Kigali City,Nyarugenge,Mageregere,Kavumu,Nyakabingo,11050206,Fill In,,,,,,,,,,,,,,,,,,
179,Kigali City,Nyarugenge,Mageregere,Kavumu,Nyarubuye,11050207,GE,,,,,,,,,,,,,,,,,,
180,Kigali City,Nyarugenge,Mageregere,Mataba,Burema,11050301,GE,,,,,,,,,,,,,,,,,,
181,Kigali City,Nyarugenge,Mageregere,Mataba,Gahombo,11050302,GE,,,,,,,,,,,,,,,,,,
182,Kigali City,Nyarugenge,Mageregere,Mataba,Kabeza,11050303,Fill In,,,,,,,,,,,,,,,,,,
183,Kigali City,Nyarugenge,Mageragere,Mwendo,Karambi,11050304,Fill In,,,,,,,,,,,,,,,,,,
184,Kigali City,Nyarugenge,Mageregere,Mataba,Kwisanga,11050305,GE,,,,,,,,,,,,,,,,,,
185,Kigali City,Nyarugenge,Mageregere,Mataba,Mageragere,11050306,GE,,,,,,,,,,,,,,,,,,
186,Kigali City,Nyarugenge,Mageregere,Mataba,Mataba,11050307,GE,,,,,,,,,,,,,,,,,,
187,Kigali City,Nyarugenge,Mageregere,Mataba,Rushubi,11050308,Fill In,,,,,,,,,,,,,,,,,,
188,Kigali City,Nyarugenge,Mageregere,Ntungamo,Akanakamageragere,11050401,GE,,,,,,,,,,,,,,,,,,
189,Kigali City,Nyarugenge,Mageregere,Ntungamo,Gatovu,11050402,GE,,,,,,,,,,,,,,,,,,
190,Kigali City,Nyarugenge,Mageregere,Ntungamo,Nyabitare,11050403,GE,,,,,,,,,,,,,,,,,,
191,Kigali City,Nyarugenge,Mageregere,Ntungamo,Nyarubande,11050404,GE,,,,,,,,,,,,,,,,,,
192,Kigali City,Nyarugenge,Mageregere,Ntungamo,Rubungo,11050405,GE,,,,,,,,,,,,,,,,,,
193,Kigali City,Nyarugenge,Mageregere,Ntungamo,Rwindonyi,11050406,GE,,,,,,,,,,,,,,,,,,
194,Kigali City,Nyarugenge,Mageregere,Nyarufunzo,Akabungo,11050501,Fill In,,,,,,,,,,,,,,,,,,
195,Kigali City,Nyarugenge,Mageregere,Nyarufunzo,Akamashinge,11050502,GE,,,,,,,,,,,,,,,,,,
196,Kigali City,Nyarugenge,Mageregere,Nyarufunzo,Maya,11050503,GE,,,,,,,,,,,,,,,,,,
197,Kigali City,Nyarugenge,Mageregere,Nyarufunzo,Nyarufunzo,11050504,Fill In,,,,,,,,,,,,,,,,,,
198,Kigali City,Nyarugenge,Mageregere,Nyarufunzo,Nyarurama,11050505,GE,,,,,,,,,,,,,,,,,,
199,Kigali City,Nyarugenge,Mageregere,Nyarufunzo,Rubete,11050506,GE,,,,,,,,,,,,,,,,,,
200,Kigali City,Nyarugenge,Mageregere,Nyarurenzi,Amahoro,11050601,GE,,,,,,,,,,,,,,,,,,
201,Kigali City,Nyarugenge,Mageregere,Nyarurenzi,Ayabaramba,11050602,Fill In,,,,,,,,,,,,,,,,,,
202,Kigali City,Nyarugenge,Mageregere,Nyarurenzi,Gikuyu,11050603,Fill In,,,,,,,,,,,,,,,,,,
203,Kigali City,Nyarugenge,Mageregere,Nyarurenzi,Iterambere,11050604,Fill In,,,,,,,,,,,,,,,,,,
204,Kigali City,Nyarugenge,Mageregere,Nyarurenzi,Nyabirondo,11050605,GE,,,,,,,,,,,,,,,,,,
205,Kigali City,Nyarugenge,Mageregere,Nyarurenzi,Nyarurenzi,11050606,GE,,,,,,,,,,,,,,,,,,
206,Kigali City,Nyarugenge,Mageregere,Runzenze,Gisunzu,11050701,Fill In,,,,,,,,,,,,,,,,,,
207,Kigali City,Nyarugenge,Mageregere,Runzenze,Mpanga,11050702,GE,,,,,,,,,,,,,,,,,,
208,Kigali City,Nyarugenge,Mageregere,Runzenze,Nkomero,11050703,GE,,,,,,,,,,,,,,,,,,
209,Kigali City,Nyarugenge,Mageregere,Runzenze,Runzenze,11050704,GE,,,,,,,,,,,,,,,,,,
210,Kigali City,Nyarugenge,Mageregere,Runzenze,Uwurugenge,11050705,GE,,,,,,,,,,,,,,,,,,
211,Kigali City,Nyarugenge,Muhima,Amahoro,Amahoro,11060101,GE,,,,,,,,,,,,,,,,,,
212,Kigali City,Nyarugenge,Muhima,Amahoro,Amizero,11060102,Fill In,,,,,,,,,,,,,,,,,,
213,Kigali City,Nyarugenge,Muhima,Amahoro,Inyarurembo,11060103,GE,,,,,,,,,,,,,,,,,,
214,Kigali City,Nyarugenge,Muhima,Amahoro,Kabirizi,11060104,Fill In,,,,,,,,,,,,,,,,,,
215,Kigali City,Nyarugenge,Muhima,Amahoro,Ubuzima,11060105,GE,,,,,,,,,,,,,,,,,,
216,Kigali City,Nyarugenge,Muhima,Amahoro,Uruhimbi,11060106,GE,,,,,,,,,,,,,,,,,,
217,Kigali City,Nyarugenge,Muhima,Kabasengerezi,Icyeza,11060201,GE,,,,,,,,,,,,,,,,,,
218,Kigali City,Nyarugenge,Muhima,Kabasengerezi,Ikana,11060202,GE,,,,,,,,,,,,,,,,,,
219,Kigali City,Nyarugenge,Muhima,Kabasengerezi,Intwari,11060203,Fill In,,,,,,,,,,,,,,,,,,
